time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690551127014231153,/faas.Executor/Execute&2,workload-8047153110583843187,true,0,8837,64987,44962,4212,38
1690551127014901684,/faas.Executor/Execute&67,workload-714743201942097365,true,1,11610,70337,36163,4986,131
1690551127021685022,/faas.Executor/Execute&95,workload-8932577577950258683,true,0,11354,29649,36485,3682,49
1690551127024560447,/faas.Executor/Execute&5,workload-4820556462575157327,true,0,9156,66700,53143,3252,34
1690551127026440606,/faas.Executor/Execute&65,workload-8195793669927569589,true,1,9829,89783,35926,2940,44
1690551127033717725,/faas.Executor/Execute&87,workload-9034707801025117009,true,1,11852,86238,44060,4318,55
1690551127035760628,/faas.Executor/Execute&19,workload-7524645671063577906,true,1,12989,79125,46279,3945,72
1690551127039226310,/faas.Executor/Execute&85,workload-2460893777582560125,true,1,13225,96141,38078,3945,62
1690551127040664128,/faas.Executor/Execute&11,workload-6741070397144651846,true,1,10820,74769,61044,3433,68
1690551127045388822,/faas.Executor/Execute&97,workload-6295693115334551720,true,0,11273,90330,53283,3083,127
1690551127051775898,/faas.Executor/Execute&59,workload-6946497456908906194,true,0,8924,50226,94669,4564,60
1690551127057061804,/faas.Executor/Execute&0,workload-2371975322724221072,true,0,9290,54073,44260,5524,82
1690551127057201513,/faas.Executor/Execute&58,workload-8904227454839193562,true,1,13038,87239,61283,3565,39
1690551127057952649,/faas.Executor/Execute&21,workload-174877998778581861,true,0,8185,89169,64352,3375,37
1690551127061138051,/faas.Executor/Execute&76,workload-2639374494754285790,true,1,10232,73937,36740,3154,64
1690551127062307422,/faas.Executor/Execute&10,workload-2058505475007040195,true,0,13119,82246,69779,3378,66
1690551127066455017,/faas.Executor/Execute&49,workload-7181599063375490763,true,0,11228,46275,61608,4409,83
1690551127066463463,/faas.Executor/Execute&36,workload-7897236969880708101,true,1,10697,53895,60026,3850,63
1690551127066903580,/faas.Executor/Execute&93,workload-5993368355639581478,true,1,10549,77131,88863,3810,52
1690551127070660873,/faas.Executor/Execute&25,workload-4207308866642561313,true,0,7409,63784,54856,4169,52
1690551127070879574,/faas.Executor/Execute&13,workload-8563159426667655156,true,0,11748,55902,61060,2884,36
1690551127074810832,/faas.Executor/Execute&50,workload-6063746458202383937,true,0,12338,79496,84291,3949,72
1690551127075264776,/faas.Executor/Execute&51,workload-7453786969150570971,true,1,9371,53522,71109,3064,50
1690551127077763305,/faas.Executor/Execute&82,workload-8429002880613454751,true,0,7826,60320,111164,3975,48
1690551127079621923,/faas.Executor/Execute&23,workload-981943622041115246,true,0,9861,89956,81684,4327,67
1690551127085262011,/faas.Executor/Execute&52,workload-3258710031849868488,true,1,7303,69486,68499,3149,42
1690551127086267497,/faas.Executor/Execute&81,workload-1798569926440060816,true,0,9393,46666,85226,4733,77
1690551127088370014,/faas.Executor/Execute&16,workload-6250688863399097846,true,0,11266,73521,107250,5469,165
1690551127089098406,/faas.Executor/Execute&42,workload-1814046988549067722,true,0,9810,70313,107173,7220,64
1690551127090633762,/faas.Executor/Execute&17,workload-6734731950387031201,true,0,12133,96328,86549,3499,37
1690551127090951975,/faas.Executor/Execute&45,workload-5901783000811248102,true,0,12869,93180,88712,3655,73
1690551127091788505,/faas.Executor/Execute&71,workload-2953147717901984054,true,0,11122,55481,82673,3731,47
1690551127092999917,/faas.Executor/Execute&30,workload-8432178016209408130,true,0,17767,51991,78954,3461,54
1690551127096089715,/faas.Executor/Execute&35,workload-452122090494106360,true,0,10013,51617,90557,2984,37
1690551127096922969,/faas.Executor/Execute&56,workload-8451280919065418452,true,0,11556,95488,92356,3195,93
1690551127097366954,/faas.Executor/Execute&43,workload-3164130478753373298,true,0,8161,60408,85041,2534,31
1690551127100147226,/faas.Executor/Execute&77,workload-4244202481229639993,true,0,11747,68470,75761,2922,29
1690551127100875618,/faas.Executor/Execute&78,workload-8571178634885647046,true,1,12764,85243,111204,3712,64
1690551127103720695,/faas.Executor/Execute&70,workload-5177331008439211128,true,0,7245,80810,70504,2708,36
1690551127105430006,/faas.Executor/Execute&88,workload-3458215394656042990,true,1,13747,87235,114226,3418,50
1690551127106338414,/faas.Executor/Execute&38,workload-72167322714215490,true,0,9809,48918,100041,3097,33
1690551127106890377,/faas.Executor/Execute&84,workload-8794112200447905301,true,1,13126,109458,94123,3503,48
1690551127108872192,/faas.Executor/Execute&66,workload-7283309333242338672,true,0,16641,61572,83959,3332,50
1690551127113200965,/faas.Executor/Execute&55,workload-4648593226465513940,true,0,18034,77445,71403,3339,67
1690551127119229591,/faas.Executor/Execute&72,workload-1561918752422678907,true,0,8010,77487,103420,3277,27
1690551127119591107,/faas.Executor/Execute&74,workload-8698717697477388999,true,0,9369,78879,90883,3675,66
1690551127120345028,/faas.Executor/Execute&80,workload-2783522151501569987,true,1,7181,55758,127434,3300,38
1690551127121808715,/faas.Executor/Execute&39,workload-7132719659447506513,true,0,10647,75540,95031,3051,37
1690551127122739107,/faas.Executor/Execute&94,workload-5762960557944819492,true,0,12715,53434,110657,3535,56
1690551127123164736,/faas.Executor/Execute&61,workload-3634115493929033750,true,1,6582,60250,114287,4646,54
1690551127123662985,/faas.Executor/Execute&12,workload-2184280772258044404,true,0,17679,58673,104174,3285,36
1690551127129919299,/faas.Executor/Execute&60,workload-549756723168576713,true,0,11301,77582,99067,3098,32
1690551127130811747,/faas.Executor/Execute&99,workload-6780813527316352538,true,0,10697,81422,150140,3503,33
1690551127133007444,/faas.Executor/Execute&41,workload-8307360718413561152,true,0,8052,77575,151797,2967,34
1690551127135712031,/faas.Executor/Execute&86,workload-2628469786801227177,true,0,10286,65121,121061,2983,36
1690551127137258297,/faas.Executor/Execute&15,workload-7648078948044016268,true,0,10857,48919,133211,2613,31
1690551127140831376,/faas.Executor/Execute&96,workload-4715805482513086379,true,1,18409,63243,118163,3407,32
1690551127144524725,/faas.Executor/Execute&64,workload-6204706896664418016,true,0,12445,71630,160692,5483,39
1690551127144805736,/faas.Executor/Execute&18,workload-827745176392667770,true,0,11479,74582,161733,3393,33
1690551127146670776,/faas.Executor/Execute&47,workload-5970028102164254671,true,0,12491,129807,62227,3375,50
1690551127148076883,/faas.Executor/Execute&92,workload-8532124864849883625,true,1,6979,76089,125660,3240,68
1690551127149594736,/faas.Executor/Execute&44,workload-6560746765980692686,true,0,31158,85800,90356,3208,72
1690551127150768295,/faas.Executor/Execute&9,workload-3169838862304549765,true,0,12257,87854,153742,3081,30
1690551127152081272,/faas.Executor/Execute&73,workload-8645806501174509880,true,0,16937,60688,132491,2640,37
1690551127154157018,/faas.Executor/Execute&27,workload-4945637221964071545,true,0,15786,108362,83187,3230,40
1690551127154991946,/faas.Executor/Execute&1,workload-2648938314419429741,true,0,8215,63422,143112,5664,75
1690551127154998939,/faas.Executor/Execute&24,workload-5439232385657218142,true,1,13838,88874,155586,3468,40
1690551127155299227,/faas.Executor/Execute&46,workload-8666705668037322104,true,1,11168,99149,154219,3477,106
1690551127157892860,/faas.Executor/Execute&90,workload-2777613879437125575,true,0,16373,122814,71311,4601,34
1690551127158440454,/faas.Executor/Execute&6,workload-4193925891996135483,true,0,12888,124774,79469,3127,36
1690551127158526730,/faas.Executor/Execute&7,workload-5014869819365933358,true,1,5508,51946,170665,3165,43
1690551127159483773,/faas.Executor/Execute&28,workload-7231950470650914953,true,0,36102,106425,76247,3528,81
1690551127169665523,/faas.Executor/Execute&98,workload-3342189083460860201,true,0,16728,60747,146656,2937,36
