time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690621630247942238,/faas.Executor/Execute&40,workload-7709926804038131686,true,1,8521,69551,38940,4079,37
1690621630248060631,/faas.Executor/Execute&12,workload-8147721284639950551,true,0,8347,60584,31745,4109,38
1690621630250415576,/faas.Executor/Execute&30,workload-4738942935091446280,true,1,6890,78993,33613,3879,39
1690621630262546582,/faas.Executor/Execute&4,workload-4547724871646188656,true,1,6674,76846,37546,2754,46
1690621630267671272,/faas.Executor/Execute&22,workload-2952340932697060578,true,0,6332,85877,32248,3982,138
1690621630267756983,/faas.Executor/Execute&28,workload-4367834544368213860,true,0,9765,76229,37704,4319,44
1690621630267785276,/faas.Executor/Execute&20,workload-8341644771201446795,true,0,7480,82116,36702,4170,77
1690621630267791638,/faas.Executor/Execute&44,workload-2674299397320393239,true,0,8238,77869,37925,3889,40
1690621630268670109,/faas.Executor/Execute&10,workload-5816433954901008680,true,0,9097,78920,37549,4286,57
1690621630271077512,/faas.Executor/Execute&11,workload-7878621608871828764,true,0,5964,95267,38753,4336,39
1690621630271316662,/faas.Executor/Execute&0,workload-2149345542604140560,true,1,6951,87112,39107,3749,41
1690621630271334756,/faas.Executor/Execute&35,workload-4495455159779882029,true,0,12121,78283,38907,4027,29
1690621630275735786,/faas.Executor/Execute&32,workload-2610563977450364629,true,0,10333,91914,33195,2682,39
1690621630276033716,/faas.Executor/Execute&13,workload-667527043251612923,true,0,8315,81057,46017,4045,39
1690621630276623955,/faas.Executor/Execute&8,workload-5252182453719296161,true,0,9766,86747,37823,3907,90
1690621630277501945,/faas.Executor/Execute&34,workload-3029856950157049629,true,0,12113,70648,52650,3430,55
1690621630279160702,/faas.Executor/Execute&9,workload-1165274880437064502,true,0,11285,74707,48879,3358,83
1690621630279278794,/faas.Executor/Execute&45,workload-8447464224882160207,true,0,7119,98147,26086,5002,66
1690621630279506121,/faas.Executor/Execute&1,workload-308026546355750257,true,0,7639,88610,43437,3899,246
1690621630281786366,/faas.Executor/Execute&48,workload-4949409156918458862,true,0,10906,85551,41844,3122,33
1690621630283291093,/faas.Executor/Execute&29,workload-2932607518263076468,true,0,9185,88520,41121,3170,46
1690621630283505076,/faas.Executor/Execute&7,workload-2557594788413216293,true,0,11258,88240,42633,3212,46
1690621630288610229,/faas.Executor/Execute&41,workload-6594351110191157196,true,0,7601,89302,45107,3465,66
1690621630288725105,/faas.Executor/Execute&46,workload-6891918602137726748,true,0,7273,104322,43736,3306,54
1690621630289020620,/faas.Executor/Execute&19,workload-7956920503324149248,true,0,9221,92863,40429,4352,41
1690621630289384434,/faas.Executor/Execute&15,workload-5101839392035456354,true,0,7746,95184,41920,3743,51
1690621630291010740,/faas.Executor/Execute&6,workload-8202131698840161132,true,1,7844,111386,44590,4020,50
1690621630291434766,/faas.Executor/Execute&16,workload-5891609649189962419,true,0,9225,101626,38740,4442,44
1690621630294246811,/faas.Executor/Execute&33,workload-3376865850589485803,true,0,5480,102476,49532,3577,40
1690621630303494939,/faas.Executor/Execute&31,workload-4524754015676261332,true,1,8181,124447,40679,3887,50
1690621630306261157,/faas.Executor/Execute&3,workload-5217744732937344664,true,0,6657,115493,40623,3291,48
1690621630311851192,/faas.Executor/Execute&49,workload-7803768087877282087,true,1,7594,102692,66523,7694,54
1690621630316145451,/faas.Executor/Execute&37,workload-4670474090918556786,true,0,6087,101272,57754,8582,59
1690621630328925787,/faas.Executor/Execute&36,workload-3716699711791748169,true,0,8350,103806,74389,5350,36
1690621630334580513,/faas.Executor/Execute&21,workload-1429754555457651840,true,0,16022,82399,87784,6665,61
1690621630337407025,/faas.Executor/Execute&23,workload-301477755216903165,true,0,16861,81378,91983,6128,31
1690621630338308939,/faas.Executor/Execute&5,workload-1662339071580489365,true,0,14414,100470,78407,5805,315
1690621630340871976,/faas.Executor/Execute&27,workload-5303864272277509754,true,0,16282,101201,77105,5734,42
1690621630341900799,/faas.Executor/Execute&24,workload-479597554138835484,true,0,12765,111390,71317,3975,67
1690621630341908554,/faas.Executor/Execute&14,workload-1733691500090697167,true,0,16213,110625,68463,4658,31
1690621630342181957,/faas.Executor/Execute&43,workload-6785231918945904744,true,0,11379,119274,70354,4146,37
1690621630342462675,/faas.Executor/Execute&47,workload-4177843596364861082,true,0,14305,102392,81358,5020,35
1690621630345018638,/faas.Executor/Execute&2,workload-2877069884351538690,true,0,13703,117061,68559,3127,33
1690621630346519769,/faas.Executor/Execute&38,workload-7005301713372790308,true,0,13493,122935,66370,3518,55
1690621630346696190,/faas.Executor/Execute&26,workload-1329935951656667543,true,0,15626,119972,66091,3313,30
1690621630352507510,/faas.Executor/Execute&39,workload-8421505510714693374,true,1,6834,119410,87482,8749,59
1690621630352856526,/faas.Executor/Execute&25,workload-8865582544273767051,true,0,8356,103213,94451,9013,42
1690621630353375542,/faas.Executor/Execute&17,workload-2739905633708269534,true,0,7808,117894,91435,6264,66
1690621630353637844,/faas.Executor/Execute&18,workload-5289953920644643909,true,0,13485,122786,74659,3205,35
1690621630385509195,/faas.Executor/Execute&42,workload-7303592099602751477,true,0,7543,115311,120572,5558,56
