time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690704202571507142,/faas.Executor/Execute&618,workload-368558834707625861,true,1,8358,82233,17487,3618,41
1690704202582304699,/faas.Executor/Execute&748,workload-2479667663084532189,true,1,5086,68501,15612,2882,49
1690704202600746931,/faas.Executor/Execute&468,workload-127847663973724155,true,1,6913,85902,14673,3905,44
1690704202623539070,/faas.Executor/Execute&258,workload-4891791191437058598,true,1,6074,43211,16799,2828,42
1690704202624057682,/faas.Executor/Execute&712,workload-6766938023809169911,true,1,6736,107093,15886,4315,227
1690704202630904401,/faas.Executor/Execute&640,workload-3012812614834490404,true,0,7642,60419,15599,3373,45
1690704202638980795,/faas.Executor/Execute&656,workload-2340331235049725098,true,1,6365,59256,17000,3846,87
1690704202644501357,/faas.Executor/Execute&307,workload-2038368531330383517,true,0,7082,56529,18141,4069,64
1690704202649298392,/faas.Executor/Execute&782,workload-5223221980277146509,true,0,6458,62058,18268,4150,80
1690704202652709949,/faas.Executor/Execute&298,workload-92274404761296227,true,0,5830,68960,22305,3613,80
1690704202661384966,/faas.Executor/Execute&237,workload-4205068752452818627,true,1,7935,77696,23307,3468,53
1690704202661807879,/faas.Executor/Execute&143,workload-7809623930591678494,true,0,6900,77952,20082,3926,57
1690704202663349029,/faas.Executor/Execute&519,workload-6662884708391222747,true,3,7100,87828,19351,3253,84
1690704202663505803,/faas.Executor/Execute&404,workload-2760063359235717446,true,0,7139,75817,22342,4036,37
1690704202668512391,/faas.Executor/Execute&532,workload-6259381970119961170,true,1,6787,86770,16591,4614,54
1690704202671670273,/faas.Executor/Execute&637,workload-6746492281644892257,true,0,4702,45607,18735,3575,68
1690704202678764495,/faas.Executor/Execute&760,workload-2167250002336906762,true,0,7299,55341,18716,3155,49
1690704202679193630,/faas.Executor/Execute&252,workload-2193862511373458496,true,0,4826,92256,23593,3533,40
1690704202680223822,/faas.Executor/Execute&1,workload-8613468896997122201,true,1,6576,102866,16295,4250,60
1690704202683695742,/faas.Executor/Execute&221,workload-5871553611351123703,true,0,7979,100059,22671,3449,39
1690704202685966700,/faas.Executor/Execute&512,workload-6454016681943785682,true,1,8721,100153,23532,3684,60
1690704202689026498,/faas.Executor/Execute&239,workload-6575828383155346091,true,0,6610,96220,24352,2879,86
1690704202690137832,/faas.Executor/Execute&720,workload-3827749944029224567,true,1,6666,109358,19215,4214,48
1690704202690259360,/faas.Executor/Execute&560,workload-8760221230042121282,true,0,8743,110194,15413,4302,47
1690704202690861098,/faas.Executor/Execute&36,workload-8074280907469703005,true,1,9053,113794,21919,3247,66
1690704202692134756,/faas.Executor/Execute&115,workload-2871167134043197087,true,1,7499,26102,31803,4555,44
1690704202695710782,/faas.Executor/Execute&133,workload-3769100918672732284,true,0,5272,70024,18225,4035,57
1690704202696311448,/faas.Executor/Execute&285,workload-4540878332994949950,true,0,6874,107441,20567,5101,90
1690704202696629765,/faas.Executor/Execute&268,workload-612516999666775267,true,0,8119,45773,18040,3972,61
1690704202699540243,/faas.Executor/Execute&564,workload-2711649940827131471,true,0,4620,62368,19348,3878,123
1690704202699620724,/faas.Executor/Execute&600,workload-4255741960095819445,true,0,7764,75028,18031,3616,83
1690704202702176286,/faas.Executor/Execute&670,workload-1355313408807420581,true,1,11450,26181,47979,2945,56
