time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690704576001506629,/faas.Executor/Execute&319,workload-1298197254254297087,true,1,7591,78786,20782,4057,52
1690704576001828202,/faas.Executor/Execute&9,workload-411602797568807715,true,0,7520,64352,23584,3763,33
1690704576008265815,/faas.Executor/Execute&493,workload-6377669941130991048,true,1,5321,75387,17960,3747,42
1690704576009224162,/faas.Executor/Execute&360,workload-6310074201865564084,true,1,4164,68748,23388,3752,50
1690704576015416254,/faas.Executor/Execute&377,workload-6526646116280966691,true,0,5866,79648,20813,3088,51
1690704576015701028,/faas.Executor/Execute&665,workload-470806182577313301,true,1,8696,94958,19082,3360,38
1690704576017481337,/faas.Executor/Execute&436,workload-4887399064248211825,true,0,7673,81849,19930,3295,54
1690704576019627622,/faas.Executor/Execute&198,workload-6620570180409556411,true,1,4269,87310,21721,3221,47
1690704576019752105,/faas.Executor/Execute&553,workload-2196848910239120428,true,0,5469,85792,20143,3208,51
1690704576021400507,/faas.Executor/Execute&501,workload-548277185091220064,true,1,5148,104033,20060,3124,50
1690704576021587688,/faas.Executor/Execute&284,workload-762059365356968252,true,0,6661,51180,25042,4549,42
1690704576021603557,/faas.Executor/Execute&778,workload-6588336521520633289,true,1,6225,88270,16029,3947,60
1690704576025610772,/faas.Executor/Execute&329,workload-3079553656977001155,true,0,6690,51777,20589,5004,47
1690704576027183922,/faas.Executor/Execute&264,workload-8818645250811423751,true,0,5978,95379,16861,4357,96
1690704576027255356,/faas.Executor/Execute&483,workload-7231051497895169126,true,1,6537,89371,18783,4389,78
1690704576027324656,/faas.Executor/Execute&715,workload-2670491220572086657,true,1,8529,90780,16245,3273,50
1690704576029893734,/faas.Executor/Execute&24,workload-6916320521464622874,true,1,6233,97915,15102,4794,313
1690704576030021884,/faas.Executor/Execute&525,workload-3684198539571560038,true,1,8520,92985,20748,4305,74
1690704576034302993,/faas.Executor/Execute&213,workload-9030529338614345377,true,1,5558,98731,25389,2565,38
1690704576034866580,/faas.Executor/Execute&504,workload-3751541493156120485,true,1,8246,108690,16477,3250,52
1690704576038270934,/faas.Executor/Execute&562,workload-1797507977375443640,true,0,7999,98529,20948,4542,25
1690704576038625068,/faas.Executor/Execute&763,workload-89443700893826605,true,1,7948,101599,20134,5017,60
1690704576038636580,/faas.Executor/Execute&131,workload-4548315633854771720,true,0,5796,43386,16117,2836,36
1690704576040734494,/faas.Executor/Execute&772,workload-4317184510404414669,true,1,7265,68218,18147,2943,32
1690704576041132300,/faas.Executor/Execute&664,workload-4008006352377319827,true,0,10406,100340,19287,3958,55
1690704576044240499,/faas.Executor/Execute&169,workload-6968496649879842535,true,0,5742,50768,18643,4080,51
1690704576044612977,/faas.Executor/Execute&681,workload-4524766440742436884,true,1,5618,117508,21574,3388,53
1690704576045715846,/faas.Executor/Execute&151,workload-4810141079604697013,true,0,5145,62738,20997,2917,28
1690704576055486629,/faas.Executor/Execute&334,workload-2400701249401836344,true,1,8386,114438,21554,4184,62
1690704576055780019,/faas.Executor/Execute&78,workload-241629865954857748,true,0,5572,81791,20773,2964,47
1690704576058931950,/faas.Executor/Execute&278,workload-4454932762588842638,true,1,6377,86084,19824,2923,55
1690704576059067044,/faas.Executor/Execute&425,workload-2527695997138513336,true,0,4834,75175,21921,3671,103
1690704576060128424,/faas.Executor/Execute&361,workload-4440539140922349706,true,1,8355,89494,18212,3658,60
1690704576061768469,/faas.Executor/Execute&352,workload-2096114260202157079,true,0,6441,88846,20616,3105,58
1690704576061878476,/faas.Executor/Execute&143,workload-5301508186931783818,true,0,5480,95274,21926,3111,36
1690704576062436162,/faas.Executor/Execute&542,workload-4794528822071373857,true,1,6397,71140,17933,2777,34
1690704576062707781,/faas.Executor/Execute&382,workload-479907678565215186,true,0,7686,65989,16774,2777,50
1690704576065005440,/faas.Executor/Execute&744,workload-2570831738872997860,true,1,7969,124225,25956,4393,46
1690704576065541856,/faas.Executor/Execute&675,workload-8809671153724305211,true,0,6468,61504,25288,3874,65
1690704576068511946,/faas.Executor/Execute&251,workload-3098526243222274067,true,0,5151,64780,45758,2703,60
1690704576069193865,/faas.Executor/Execute&75,workload-7170434927865407632,true,0,8120,73506,32714,3183,70
1690704576072174374,/faas.Executor/Execute&61,workload-6735546995686082615,true,0,5013,73843,17764,3857,48
1690704576072240067,/faas.Executor/Execute&159,workload-3715944289895088601,true,0,5652,101001,19455,4089,56
1690704576074807121,/faas.Executor/Execute&371,workload-2307109331648965595,true,0,5305,75104,19016,4224,113
1690704576076759533,/faas.Executor/Execute&492,workload-4837377345578626737,true,0,8561,109044,19225,4993,49
1690704576079586404,/faas.Executor/Execute&197,workload-9153372507611751244,true,0,7035,76647,22954,3183,45
1690704576080720200,/faas.Executor/Execute&349,workload-2909175316065531412,true,0,5895,90617,19886,3425,51
1690704576081396318,/faas.Executor/Execute&638,workload-5843593594776806545,true,0,5156,84913,20446,3624,94
1690704576083312311,/faas.Executor/Execute&793,workload-2295141581570055637,true,0,5540,67872,52352,3373,39
1690704576084602360,/faas.Executor/Execute&115,workload-8009035034787819126,true,0,5145,89371,21208,3247,33
1690704576085109962,/faas.Executor/Execute&249,workload-4639392461862245468,true,0,4788,84560,50306,3253,39
1690704576085493472,/faas.Executor/Execute&219,workload-110204862533141097,true,0,5780,72724,35260,3724,71
1690704576085655055,/faas.Executor/Execute&328,workload-2188689249657630322,true,0,5319,63513,52305,3066,49
1690704576086104007,/faas.Executor/Execute&146,workload-9203216708253114738,true,0,4142,79515,37316,4058,60
1690704576086194767,/faas.Executor/Execute&743,workload-5053613203022000476,true,0,7848,78352,28180,3103,33
1690704576086657074,/faas.Executor/Execute&71,workload-8866531132679946117,true,1,7056,100398,24767,3359,67
1690704576088034557,/faas.Executor/Execute&370,workload-6831019865854167084,true,0,5737,83060,23557,2775,25
1690704576088856218,/faas.Executor/Execute&576,workload-7294581642122368581,true,0,6768,88338,20753,2864,56
1690704576089545781,/faas.Executor/Execute&536,workload-1290950929995612627,true,0,5061,95980,21948,3193,34
1690704576090105261,/faas.Executor/Execute&127,workload-5834862880334780631,true,0,6874,86096,27645,3265,73
1690704576090535638,/faas.Executor/Execute&0,workload-6667478716386806675,true,0,6949,86678,20603,3919,70
1690704576090954523,/faas.Executor/Execute&718,workload-8851351575251969588,true,1,4961,46036,18480,3559,33
1690704576091741789,/faas.Executor/Execute&619,workload-6506702646162751133,true,0,5335,46078,16703,2632,42
1690704576092012347,/faas.Executor/Execute&475,workload-8477274415345226441,true,0,6414,79969,43847,3473,27
1690704576093972342,/faas.Executor/Execute&204,workload-2654325757830584307,true,0,6294,77459,50923,3364,31
1690704576097867858,/faas.Executor/Execute&298,workload-1891641524964012839,true,1,5273,24373,16988,2746,41
1690704576098339592,/faas.Executor/Execute&155,workload-7074802911909564288,true,1,6960,130804,21590,4465,57
1690704576099166353,/faas.Executor/Execute&222,workload-5511151077838655521,true,1,8308,45211,20893,2815,45
1690704576099559290,/faas.Executor/Execute&68,workload-7020497377268832179,true,0,4862,104138,39158,3236,41
1690704576100259032,/faas.Executor/Execute&636,workload-4761910294334697929,true,0,7576,101835,37158,3222,58
1690704576103166425,/faas.Executor/Execute&123,workload-4661101282867464694,true,0,5651,90396,37598,3013,39
1690704576103409340,/faas.Executor/Execute&511,workload-1186485145037362035,true,1,7554,102428,40793,3250,56
1690704576103735682,/faas.Executor/Execute&514,workload-5171924610819773146,true,0,4507,109903,21999,3595,38
1690704576104016799,/faas.Executor/Execute&233,workload-6379342019298115642,true,0,5115,97634,51000,3409,29
1690704576107881116,/faas.Executor/Execute&129,workload-6007803518769638388,true,1,5446,118092,19388,3083,64
1690704576109243090,/faas.Executor/Execute&168,workload-3094295246818728788,true,0,5902,123840,23575,3144,37
1690704576112663715,/faas.Executor/Execute&470,workload-2505767457446421778,true,1,13731,109108,20620,3543,75
1690704576114029867,/faas.Executor/Execute&358,workload-7007906589794821362,true,1,5272,31557,26204,4150,34
1690704576119207757,/faas.Executor/Execute&432,workload-9140012234044676287,true,0,8656,63438,20682,2682,34
1690704576122403751,/faas.Executor/Execute&291,workload-3848394129716242206,true,0,10399,68736,16983,3057,40
1690704576124067791,/faas.Executor/Execute&344,workload-8836935463360796375,true,0,5502,57072,23218,2798,28
1690704576136273240,/faas.Executor/Execute&565,workload-7630096114618579901,true,1,7593,76827,17955,2786,39
1690704576138663252,/faas.Executor/Execute&474,workload-7868948991199708396,true,0,7229,93558,124770,4274,62
1690704576138819215,/faas.Executor/Execute&447,workload-7735115153758699906,true,1,6439,48585,36295,2784,33
