time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690705426464132771,/faas.Executor/Execute&631,workload-677485459814440282,true,1,5356,92486,16095,3674,57
1690705426568033834,/faas.Executor/Execute&780,workload-7346323799538127418,true,0,8728,69139,20878,4424,57
1690705426568111299,/faas.Executor/Execute&746,workload-372890447218162881,true,0,8429,70031,20276,4197,53
1690705426624146481,/faas.Executor/Execute&754,workload-6449720261837641751,true,1,5896,127387,22362,5110,81
1690705426624235438,/faas.Executor/Execute&517,workload-1414398293813029289,true,1,4958,127595,22364,5151,110
1690705426643785770,/faas.Executor/Execute&764,workload-5411106958796836886,true,0,7539,83164,84663,3952,36
1690705426700434011,/faas.Executor/Execute&152,workload-688052351226368216,true,1,7648,137378,84137,6801,67
1690705426700838590,/faas.Executor/Execute&481,workload-1203415086007621922,true,1,8075,146377,77162,4944,42
1690705426701053523,/faas.Executor/Execute&46,workload-3083181801016290730,true,1,5826,213561,71957,6966,73
1690705426702479267,/faas.Executor/Execute&771,workload-2871553669585502083,true,1,5829,94800,130797,5642,69
1690705426765413596,/faas.Executor/Execute&719,workload-7080372169711543626,true,0,8597,46349,189826,11023,64
1690705426765698170,/faas.Executor/Execute&335,workload-1857989980335853741,true,1,5180,93711,190060,10901,63
1690705426765899267,/faas.Executor/Execute&440,workload-6726667996061132640,true,0,8984,55795,171894,11059,100
1690705426766144477,/faas.Executor/Execute&361,workload-6883545874382690890,true,0,9475,54462,186564,11345,42
1690705426766654503,/faas.Executor/Execute&635,workload-3754086388341358843,true,0,9488,58979,168732,11180,58
1690705426767211027,/faas.Executor/Execute&602,workload-7028651842198891365,true,0,8540,79369,147468,12414,31
1690705426791269032,/faas.Executor/Execute&618,workload-8848516408364077526,true,0,7479,274691,40358,4001,62
1690705426842260515,/faas.Executor/Execute&318,workload-5108583791840066287,true,0,4898,132800,197115,3722,69
1690705426855071270,/faas.Executor/Execute&476,workload-429758327437060904,true,0,4953,125151,221208,4016,58
1690705426862813608,/faas.Executor/Execute&672,workload-8777091809456081330,true,1,5792,102399,284390,4354,61
1690705426873280557,/faas.Executor/Execute&133,workload-7993421115692762190,true,0,12446,79914,261655,4539,82
1690705426929826266,/faas.Executor/Execute&6,workload-2863404712180799788,true,0,17138,48994,338275,5526,88
1690705426930036580,/faas.Executor/Execute&627,workload-4146925810045288891,true,1,8875,106439,343776,4964,67
1690705427009386464,/faas.Executor/Execute&794,workload-3609879048374496637,true,0,9601,288017,186523,4566,61
1690705427025306759,/faas.Executor/Execute&612,workload-8739595671796552319,true,0,8738,36613,462624,3921,88
1690705427041266227,/faas.Executor/Execute&561,workload-8624988614211594036,true,1,5648,106125,420997,42459,81
1690705427052618756,/faas.Executor/Execute&473,workload-3242406317175544688,true,0,4822,287670,251718,4347,53
1690705427055164320,/faas.Executor/Execute&37,workload-8823819389069690932,true,0,11212,83352,437841,7489,39
1690705427066872826,/faas.Executor/Execute&208,workload-7961657928711478861,true,0,6216,253460,300754,5649,184
1690705427067740874,/faas.Executor/Execute&658,workload-8971548020209101088,true,1,10469,63610,469007,6386,278
1690705427076229142,/faas.Executor/Execute&142,workload-2519862035611745497,true,0,6803,80009,473109,4672,52
1690705427089577554,/faas.Executor/Execute&661,workload-9146195177956356291,true,0,10285,135410,388822,40803,116
1690705427093360348,/faas.Executor/Execute&49,workload-3180629197766312356,true,1,6429,121868,405606,45149,10126
1690705427095967928,/faas.Executor/Execute&789,workload-2714519263161605261,true,0,9259,55502,506131,6927,660
1690705427097446020,/faas.Executor/Execute&371,workload-6919319249541585360,true,0,11559,109625,450041,8731,66
1690705427101382892,/faas.Executor/Execute&686,workload-4573458513405824325,true,0,9976,87234,480326,3705,58
1690705427141969714,/faas.Executor/Execute&97,workload-4215656167187186347,true,0,7887,209113,374981,39992,188
1690705427142004710,/faas.Executor/Execute&542,workload-7652304893024382025,true,0,8808,35030,539625,41653,87
1690705427148475113,/faas.Executor/Execute&793,workload-7149533849610831989,true,0,8468,198943,369326,3812,75
1690705427148686139,/faas.Executor/Execute&255,workload-7772263016009283168,true,0,12310,249026,368368,4316,51
1690705427153854441,/faas.Executor/Execute&390,workload-5132361485853338884,true,0,12388,135164,484866,4965,147
1690705427153863398,/faas.Executor/Execute&22,workload-2243427185674878191,true,0,14585,83983,470184,5110,106
1690705427154856771,/faas.Executor/Execute&700,workload-1718291383011455357,true,1,7040,413384,156047,6060,258
1690705427155284242,/faas.Executor/Execute&158,workload-1210926076208220228,true,2,5811,160647,477375,6347,186
1690705427159201478,/faas.Executor/Execute&732,workload-4580598934499177764,true,0,6809,300787,280642,3305,50
1690705427167934305,/faas.Executor/Execute&47,workload-2741900865488557904,true,0,5832,283760,369025,4045,637
1690705427173952000,/faas.Executor/Execute&223,workload-4426061744139617111,true,0,7552,145795,511660,4139,58
1690705427174220413,/faas.Executor/Execute&55,workload-8666795518763599088,true,0,17306,225592,407865,6182,32
1690705427174933701,/faas.Executor/Execute&472,workload-4024156056005305149,true,1,7319,292165,372779,4573,403
1690705427175397971,/faas.Executor/Execute&83,workload-9221699525176725217,true,0,9069,313772,327826,3948,39
1690705427176291948,/faas.Executor/Execute&40,workload-144928481373062962,true,0,7317,319848,328710,4375,43
1690705427204006480,/faas.Executor/Execute&132,workload-360146225202226241,true,0,10258,86981,584263,7794,87
1690705427204237794,/faas.Executor/Execute&193,workload-4487193318349401090,true,0,4784,97618,585615,7876,215
1690705427207908588,/faas.Executor/Execute&374,workload-5267131554070543579,true,0,10313,68067,603960,7114,51
1690705427211364448,/faas.Executor/Execute&478,workload-6557039100120835845,true,0,15805,160751,397209,6123,86
1690705427211553082,/faas.Executor/Execute&566,workload-8814731152535244260,true,0,18305,50353,622636,3745,58
1690705427211752085,/faas.Executor/Execute&645,workload-8423369153221384678,true,0,6309,355713,246411,4585,74
1690705427214068679,/faas.Executor/Execute&117,workload-831822109047398516,true,0,7726,256383,434755,5004,68
1690705427239658197,/faas.Executor/Execute&456,workload-2968410237631387434,true,0,11575,141477,568295,4305,43
1690705427242211455,/faas.Executor/Execute&128,workload-2083896905672199622,true,1,10734,383086,248520,4543,43
1690705427245543083,/faas.Executor/Execute&5,workload-1664561900814210843,true,0,11030,278471,430430,6736,71
1690705427245582286,/faas.Executor/Execute&449,workload-8068600478614902443,true,0,5035,277400,452124,6295,92
1690705427247106885,/faas.Executor/Execute&101,workload-37883545311981481,true,0,8434,300391,344024,5621,54
1690705427247902748,/faas.Executor/Execute&148,workload-7482590375396507486,true,0,20652,249094,343052,4907,42
1690705427251728222,/faas.Executor/Execute&642,workload-4645183087813193300,true,0,6670,190506,479320,4623,65
1690705427254119867,/faas.Executor/Execute&82,workload-4125411900283081639,true,0,9206,204099,427655,3844,66
1690705427256039016,/faas.Executor/Execute&187,workload-7426969500791645422,true,0,19605,371009,275344,3848,55
1690705427256184539,/faas.Executor/Execute&146,workload-4248098036929077776,true,0,4477,63967,620142,4141,53
1690705427258324572,/faas.Executor/Execute&543,workload-5779065146658757865,true,0,9025,265929,458780,4234,166
