time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690744817445275504,/faas.Executor/Execute&434,workload-1223326556907363135,true,376274,549948,52223,27113,4931,9
1690744817457759584,/faas.Executor/Execute&357,workload-1024786686890351542,true,350657,500324,119603,23767,4542,8
1690744817464577520,/faas.Executor/Execute&190,workload-6012033610104556594,true,366312,553530,70966,27532,3963,8
1690744817477489353,/faas.Executor/Execute&375,workload-4066464838155792204,true,421244,570445,53205,39496,4101,10
1690744817551375410,/faas.Executor/Execute&455,workload-4892522924970971419,true,352814,609260,86157,40055,4984,8
1690744818297211346,/faas.Executor/Execute&467,workload-7568859355630282626,true,376559,693691,127510,657819,7375,10
1690744818297231554,/faas.Executor/Execute&469,workload-743686730458132218,true,354309,688314,132806,658398,7415,13
1690744818335760165,/faas.Executor/Execute&244,workload-4260463997057470374,true,490511,699551,172342,640666,12961,13
1690744818355174603,/faas.Executor/Execute&442,workload-4545143382470218956,true,428941,674315,209839,654589,5565,7
1690744818355477521,/faas.Executor/Execute&438,workload-1545298740085847019,true,376118,685448,637644,215702,5959,14
1690744819470491544,/faas.Executor/Execute&368,workload-7429617568580656819,true,349798,721368,977158,955579,8005,13
1690744819936607201,/faas.Executor/Execute&334,workload-1860056083779102863,true,376659,689367,1110192,1233667,92583,7
1690744819937103913,/faas.Executor/Execute&172,workload-3911052706719277070,true,353869,699851,1049507,1269679,107842,21
1690744820739265177,/faas.Executor/Execute&208,workload-8716592384571762878,true,354578,725944,1015409,2087814,99172,13
1690744820743481804,/faas.Executor/Execute&59,workload-1198232928651776655,true,356373,708846,984519,2153580,87841,13
1690744820743836059,/faas.Executor/Execute&321,workload-2663031865095671996,true,353436,710804,1027489,2139220,55991,10
1690744820785967075,/faas.Executor/Execute&259,workload-6230151043271132325,true,370569,761040,1437560,1684511,94109,10
1690744821217222498,/faas.Executor/Execute&13,workload-3882457324429781802,true,375020,685567,1203951,2509233,7501,7
1690744821330534840,/faas.Executor/Execute&67,workload-5012275829875391422,true,536296,722056,1195722,2598223,6619,10
1690744821352238481,/faas.Executor/Execute&346,workload-7843733650363999245,true,420178,722158,1216603,2595556,7580,11
1690744821358655816,/faas.Executor/Execute&432,workload-1377098785194108160,true,353347,740230,1239632,2561615,6499,12
1690744821390848316,/faas.Executor/Execute&406,workload-6220211898131794953,true,439034,716609,1113196,2743827,6767,13
1690744821411462653,/faas.Executor/Execute&65,workload-7298987611762829308,true,482537,757372,1540593,2300420,5023,14
1690744821477486225,/faas.Executor/Execute&307,workload-7267308384113568854,true,354136,742743,1335292,2574761,13671,33
1690744821481513608,/faas.Executor/Execute&436,workload-4321941623642848791,true,393564,702647,1277969,2672256,17720,11
1690744821481996293,/faas.Executor/Execute&157,workload-8733396334229988870,true,417425,729181,1261547,2667500,16036,11
1690744821485537834,/faas.Executor/Execute&355,workload-6713437421538521099,true,422112,757012,2032385,1878227,7740,10
1690744821493439863,/faas.Executor/Execute&27,workload-7944508526792047840,true,351552,723454,1119637,2834644,7206,17
1690744821527976398,/faas.Executor/Execute&490,workload-4330893309198861586,true,351141,993665,1933659,1779942,10228,8
1690744821540956429,/faas.Executor/Execute&331,workload-2314244168000257611,true,355466,706080,1100294,2918606,5780,11
1690744821546266216,/faas.Executor/Execute&258,workload-3930007419496165735,true,350959,759704,2088515,1885100,5092,8
1690744821558351980,/faas.Executor/Execute&32,workload-4348680151930978663,true,494586,737964,982738,3022019,5351,10
1690744821593187247,/faas.Executor/Execute&301,workload-1144238448049724000,true,365237,733240,1055984,2981309,12966,15
1690744821593199950,/faas.Executor/Execute&465,workload-3051465852867593294,true,393393,768873,2109707,1898617,8036,11
1690744821593331347,/faas.Executor/Execute&227,workload-5625034703208203342,true,351918,740767,1375178,2656594,12593,24
1690744821596093326,/faas.Executor/Execute&37,workload-6994352917763465491,true,352989,733107,1136470,2907357,8917,8
1690744821603704319,/faas.Executor/Execute&470,workload-2716718940401530166,true,365246,762825,1393062,2630455,8461,8
1690744821606342737,/faas.Executor/Execute&19,workload-5321479219052393421,true,371846,748088,1499617,2537203,11511,10
1690744821607536385,/faas.Executor/Execute&135,workload-6118482036922935572,true,362540,769485,1520324,2500639,7146,7
1690744821611655670,/faas.Executor/Execute&265,workload-1326927343319691050,true,419008,738004,1484814,2573834,4847,6
1690744821611666460,/faas.Executor/Execute&88,workload-3208573088421455858,true,482532,734362,1077956,2981631,9835,12
1690744821623674318,/faas.Executor/Execute&473,workload-6093417580785073416,true,361178,761769,2005233,2041068,6865,11
1690744821627380038,/faas.Executor/Execute&179,workload-8461979699059232841,true,371768,720624,1072948,3017062,6541,130
1690744821628309480,/faas.Executor/Execute&408,workload-7329419631901545643,true,430336,747898,1362332,2700891,6150,5
1690744821701676493,/faas.Executor/Execute&304,workload-4342709066292031335,true,388686,771865,1186087,2911553,21437,8
1690744821701690941,/faas.Executor/Execute&231,workload-3527106956018827964,true,375774,803851,1264627,2802377,20028,9
1690744821706781016,/faas.Executor/Execute&445,workload-9206324085106155198,true,351715,795688,2045892,2043990,10989,6
1690744821707049449,/faas.Executor/Execute&437,workload-248607228420277614,true,376261,702273,879192,3303764,11073,11
1690744821708066837,/faas.Executor/Execute&396,workload-7574036007928747216,true,349534,755519,1667566,2466460,10224,8
1690744821794878603,/faas.Executor/Execute&425,workload-8537369243210857819,true,354224,824341,1493454,2660870,5226,10
1690744821840121926,/faas.Executor/Execute&373,workload-7728628021364398786,true,367409,974260,1687674,2358677,9345,9
1690744821840193941,/faas.Executor/Execute&460,workload-6987261726578251497,true,431063,1005197,1625313,2389444,9574,13
