time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690193781904664121,/faas.Executor/Execute:80,workload-3557951101918393706,true,456226,11415,101046,26777,11593,65
1690193781904707041,/faas.Executor/Execute:59,workload-1305662526426212645,true,509671,10549,100999,24476,14497,73
1690193781906316854,/faas.Executor/Execute:45,workload-5438689177432442679,true,471227,11235,102824,28265,10218,149
1690193781907970259,/faas.Executor/Execute:34,workload-8857136274610715795,true,505307,15241,106813,26894,5381,56
1690193781911449892,/faas.Executor/Execute:14,workload-6690074750711118056,true,493919,18040,120701,25706,8506,70
1690193781912917819,/faas.Executor/Execute:27,workload-6850439601079739681,true,492327,19155,123322,24570,7565,39
1690193781913778360,/faas.Executor/Execute:86,workload-3786322015531854391,true,502684,14709,111305,29716,4338,44
1690193781915825211,/faas.Executor/Execute:83,workload-7162173342850539719,true,471775,15852,115067,26877,4355,42
1690193781920351473,/faas.Executor/Execute:25,workload-4867166497270227794,true,473882,14939,112183,35760,3760,51
1690193781921177129,/faas.Executor/Execute:70,workload-4499060792708492037,true,454751,11511,122792,29196,4013,41
1690193781921481909,/faas.Executor/Execute:98,workload-7153256354771881895,true,472117,10664,124647,28794,3617,64
1690193781921565335,/faas.Executor/Execute:48,workload-1939503072277161734,true,493506,17519,130531,26393,8732,88
1690193781921778214,/faas.Executor/Execute:11,workload-8822080156477098293,true,454857,14527,123610,26249,3666,36
1690193781925261714,/faas.Executor/Execute:43,workload-714006817794805578,true,487958,18931,131314,33554,3048,36
1690193781932046453,/faas.Executor/Execute:91,workload-8310270320478219517,true,440651,20061,136281,31224,6077,41
1690193781934467425,/faas.Executor/Execute:54,workload-8694567840809130903,true,440006,19860,143288,27694,5239,37
1690193781938808360,/faas.Executor/Execute:95,workload-7336110567698294487,true,441992,19407,152414,23279,5320,35
1690193781939354783,/faas.Executor/Execute:79,workload-3051354567134403512,true,455675,20039,135922,23049,8553,70
1690193781942542830,/faas.Executor/Execute:66,workload-4814655727215708216,true,441559,17661,150916,30682,4690,51
1690193781943073543,/faas.Executor/Execute:84,workload-1311688522152330255,true,482450,26054,152697,29540,7774,76
1690193781943600459,/faas.Executor/Execute:92,workload-1108373636050061838,true,441160,18966,153372,29151,3676,45
1690193781943810162,/faas.Executor/Execute:29,workload-8217853693016781075,true,491548,21661,150787,25777,7064,63
1690193781947300715,/faas.Executor/Execute:58,workload-4923904002218907479,true,488041,16769,162894,26387,2920,36
1690193781948477899,/faas.Executor/Execute:93,workload-2628008245996525301,true,446706,20326,150949,35998,2861,41
1690193781950295140,/faas.Executor/Execute:26,workload-1409702912254280333,true,482577,26690,163206,26346,7226,46
1690193781951806268,/faas.Executor/Execute:77,workload-6952391771543767180,true,442745,22311,155229,24763,11216,88
1690193781952152026,/faas.Executor/Execute:38,workload-8233176763872276912,true,448753,19910,163705,27237,2944,45
1690193781952346960,/faas.Executor/Execute:96,workload-7894408751459444197,true,464453,24627,128144,32512,7032,108
1690193781953541867,/faas.Executor/Execute:12,workload-3592004182338874624,true,443857,19900,163585,28957,2716,32
1690193781963991176,/faas.Executor/Execute:31,workload-6099124316820548598,true,430782,27151,178087,25023,6697,63
1690193781967957950,/faas.Executor/Execute:22,workload-7037915234806468281,true,469287,22594,147252,39778,6730,45
1690193781968408153,/faas.Executor/Execute:39,workload-5993804661375657122,true,441565,23447,163957,37890,4819,55
1690193781969525534,/faas.Executor/Execute:47,workload-2756720959304850093,true,491049,20734,175524,29929,5102,87
1690193781972426665,/faas.Executor/Execute:18,workload-1263167637562406039,true,502005,20732,154190,34685,11222,33
1690193781972498629,/faas.Executor/Execute:81,workload-2549924744519087606,true,434166,28284,183438,22897,11002,56
1690193781973922594,/faas.Executor/Execute:64,workload-4843261682794048575,true,479848,25154,189470,21783,10689,58
1690193781976204766,/faas.Executor/Execute:50,workload-7199792591475062917,true,513248,22363,154492,28104,11403,59
1690193781977195781,/faas.Executor/Execute:10,workload-8874426271242137725,true,446880,22068,183016,26507,7250,70
1690193781977493148,/faas.Executor/Execute:40,workload-8951510409891193840,true,500706,20215,154515,42025,9304,52
1690193781981510557,/faas.Executor/Execute:0,workload-5969855696090144072,true,467221,19889,166253,33777,10046,61
1690193781985686273,/faas.Executor/Execute:99,workload-1714100738420857376,true,511943,21653,166165,23367,14435,104
1690193781986923709,/faas.Executor/Execute:68,workload-1913040306965213539,true,457867,24761,168757,31973,9744,58
1690193781987571051,/faas.Executor/Execute:75,workload-6194013113855435098,true,504551,22797,160531,43396,9163,71
1690193781988319251,/faas.Executor/Execute:37,workload-4174122279845977952,true,487033,19547,182124,41194,7179,56
1690193781990448937,/faas.Executor/Execute:33,workload-6719578261816559316,true,483185,31624,193671,21840,16482,71
1690193781990580724,/faas.Executor/Execute:2,workload-7329938412629266264,true,453219,16676,181837,31062,9470,45
1690193781994828766,/faas.Executor/Execute:62,workload-5846457988174375266,true,433674,31827,194707,35517,5700,69
1690193781997754682,/faas.Executor/Execute:20,workload-8832087411082585037,true,488488,23831,195458,28867,11246,60
