time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690548245489591761,/faas.Executor/Execute&0,workload-1979210002787205093,true,1,7007,97152,24553,3850,59
1690548245517235782,/faas.Executor/Execute&1,workload-7608623083605298798,true,1,7592,100735,28346,4008,56
1690548245523494592,/faas.Executor/Execute&2,workload-1451647875817130720,true,0,5561,84634,34428,2618,68
1690548245558704119,/faas.Executor/Execute&3,workload-4779031737890210130,true,1,7444,105588,25360,3756,58
1690548245558893112,/faas.Executor/Execute&4,workload-5712211413788288046,true,1,9303,81124,27454,4238,67
1690548245572556317,/faas.Executor/Execute&5,workload-2587580155086408245,true,0,9411,76084,26317,3792,50
1690548245644045190,/faas.Executor/Execute&6,workload-3611756800327243469,true,1,9768,124959,28037,3292,49
1690548245655080656,/faas.Executor/Execute&7,workload-2241893152206441926,true,0,5635,113143,34581,2832,61
1690548245658460523,/faas.Executor/Execute&9,workload-7690728583154721178,true,0,8305,83555,26659,2500,31
1690548245687558093,/faas.Executor/Execute&8,workload-2157282112189664986,true,1,10130,123216,32155,4601,63
1690548245692586855,/faas.Executor/Execute&10,workload-882677702906413893,true,1,9427,82950,39449,2590,46
1690548245724840230,/faas.Executor/Execute&12,workload-3275884103632224784,true,1,7157,90047,25403,3580,59
1690548245728069096,/faas.Executor/Execute&11,workload-6337878564827683155,true,1,9753,109521,26546,3926,49
1690548245739103380,/faas.Executor/Execute&13,workload-2998261893557221249,true,0,6842,77801,32216,3225,41
1690548245763814334,/faas.Executor/Execute&14,workload-1394295368570539759,true,1,9800,84919,25573,4026,59
1690548245768637961,/faas.Executor/Execute&16,workload-6921984051483726442,true,1,7236,52696,26209,2983,33
1690548245797438960,/faas.Executor/Execute&15,workload-2322798397632484446,true,3,9370,99405,25981,2941,45
1690548245836472589,/faas.Executor/Execute&18,workload-7400310182660293132,true,1,8394,52271,52595,3117,67
1690548245857200696,/faas.Executor/Execute&17,workload-5358304744485678300,true,1,7145,94309,52984,3068,46
1690548245862443349,/faas.Executor/Execute&21,workload-1777706823840491351,true,0,6904,46350,25466,2639,46
1690548245870453881,/faas.Executor/Execute&19,workload-3074846292145922870,true,0,6706,70002,49872,2977,48
1690548245891468959,/faas.Executor/Execute&20,workload-4962708800655322592,true,1,6224,96264,25275,3285,77
1690548245900986343,/faas.Executor/Execute&23,workload-8290458553054815926,true,0,5365,45854,25972,2749,41
1690548245905483521,/faas.Executor/Execute&22,workload-5072928336101817838,true,1,7146,68980,25784,2959,46
1690548245925498625,/faas.Executor/Execute&24,workload-4072024066329553227,true,0,5418,48152,26014,2700,39
1690548245944527440,/faas.Executor/Execute&25,workload-1147903261776324947,true,0,5795,48744,25655,2777,34
1690548245976031493,/faas.Executor/Execute&26,workload-6524481208760072217,true,1,6441,59926,24480,2560,31
1690548245998059141,/faas.Executor/Execute&27,workload-2857489228611457681,true,1,5682,61284,25260,2885,49
1690548246024399212,/faas.Executor/Execute&29,workload-4999611513850619144,true,0,6207,45281,27754,2984,43
1690548246040345613,/faas.Executor/Execute&28,workload-7890715478233526297,true,1,10362,77679,26794,3225,54
1690548246050825980,/faas.Executor/Execute&31,workload-4526656990494022334,true,1,7246,31953,25765,2958,43
1690548246059860684,/faas.Executor/Execute&30,workload-707678290121170626,true,1,5930,42611,26971,2553,47
1690548246064909714,/faas.Executor/Execute&32,workload-7725202863276196521,true,1,7247,25751,25231,2795,44
1690548246155154617,/faas.Executor/Execute&34,workload-3915716614535658333,true,1,6367,66713,35265,3268,46
1690548246162711105,/faas.Executor/Execute&35,workload-2314149410699981100,true,1,5953,62938,26821,3126,54
1690548246175718607,/faas.Executor/Execute&33,workload-7242175248770547496,true,1,8125,108358,31857,3797,120
1690548246211240716,/faas.Executor/Execute&36,workload-2162731335983199516,true,1,6724,89969,26523,2992,68
1690548246215950454,/faas.Executor/Execute&38,workload-7063919053692924583,true,1,9955,47151,30206,3306,65
1690548246217795315,/faas.Executor/Execute&37,workload-3755147230667545166,true,1,8998,66483,34265,3333,53
1690548246228337070,/faas.Executor/Execute&39,workload-8954816176953553906,true,0,6484,46676,27035,2546,32
1690548246266301972,/faas.Executor/Execute&40,workload-4569509278569199872,true,1,6417,62986,28032,3231,67
1690548246296352406,/faas.Executor/Execute&41,workload-6084155381711694584,true,1,6098,72652,27766,4094,55
1690548246297564028,/faas.Executor/Execute&42,workload-3376919767312117537,true,1,6082,56565,25842,2617,30
1690548246349085600,/faas.Executor/Execute&44,workload-4202383084353207067,true,0,10890,61345,26431,3634,68
1690548246363707551,/faas.Executor/Execute&45,workload-8073100686240680515,true,0,4817,63954,25666,3017,29
1690548246365833764,/faas.Executor/Execute&43,workload-2522551816306520215,true,1,6541,99736,29401,3300,46
1690548246394789381,/faas.Executor/Execute&46,workload-7662979492003830102,true,1,7040,70975,26063,2773,32
1690548246406825633,/faas.Executor/Execute&47,workload-898852317638913483,true,1,6226,63133,26661,3078,45
1690548246436195236,/faas.Executor/Execute&48,workload-1336133834226240966,true,1,9208,69026,26983,3053,35
1690548246455317121,/faas.Executor/Execute&49,workload-8674148770935191027,true,1,5889,72043,25705,2598,73
1690548246486772550,/faas.Executor/Execute&50,workload-2371738947906630220,true,1,5823,80711,28283,2890,55
1690548246491698984,/faas.Executor/Execute&51,workload-1184816253378808348,true,1,8029,64449,25904,2888,43
1690548246522112938,/faas.Executor/Execute&53,workload-1543983241497135885,true,0,5278,46842,37491,2783,36
1690548246530939021,/faas.Executor/Execute&52,workload-1693419587006129182,true,0,6321,77582,35269,2726,34
1690548246551700762,/faas.Executor/Execute&54,workload-7082926819154362664,true,1,6114,64753,27700,3251,49
1690548246582956988,/faas.Executor/Execute&56,workload-7761105838667137169,true,1,5925,56085,26401,2689,49
1690548246626440243,/faas.Executor/Execute&55,workload-8913954483417089912,true,1,14444,108828,29238,3665,57
1690548246629855729,/faas.Executor/Execute&58,workload-2091829616930500815,true,0,5785,60979,29796,3078,55
1690548246637256176,/faas.Executor/Execute&57,workload-1651546926612834464,true,1,6247,66823,35967,2601,32
1690548246687886021,/faas.Executor/Execute&59,workload-7214710735085742397,true,1,5947,100843,27647,2985,34
1690548246689970875,/faas.Executor/Execute&60,workload-4836372964079359841,true,1,6005,81019,28481,3064,36
1690548246729263763,/faas.Executor/Execute&61,workload-3024275229080584741,true,1,6715,100156,27926,3141,32
1690548246738794031,/faas.Executor/Execute&63,workload-5740084763846930741,true,1,5548,71155,27520,3349,103
1690548246751231866,/faas.Executor/Execute&62,workload-6005010643081492321,true,0,7979,83332,27426,3234,45
1690548246752126188,/faas.Executor/Execute&64,workload-5325122789430465684,true,1,5917,64771,26055,2762,34
1690548246793166280,/faas.Executor/Execute&66,workload-5332685148656100149,true,1,5474,55692,36838,2544,51
1690548246810616526,/faas.Executor/Execute&65,workload-2963162984861280284,true,0,6092,97178,31970,3068,34
1690548246838409574,/faas.Executor/Execute&69,workload-5025913272081745514,true,1,5919,46337,29668,3124,62
1690548246855815825,/faas.Executor/Execute&67,workload-127769164037151759,true,0,5521,105932,28964,2936,37
1690548246867922944,/faas.Executor/Execute&68,workload-5490116529770046330,true,1,7123,88426,35614,3083,51
1690548246879654029,/faas.Executor/Execute&70,workload-605105775758125513,true,1,6595,61404,34770,2717,50
1690548246925853313,/faas.Executor/Execute&73,workload-1816002227046308798,true,1,7509,54090,26616,2629,56
1690548246930359669,/faas.Executor/Execute&71,workload-3076451423843206129,true,0,5785,95792,32166,3174,31
1690548246938127163,/faas.Executor/Execute&72,workload-6679653961910876758,true,1,6397,78195,36976,2579,26
1690548246939747413,/faas.Executor/Execute&74,workload-5660021096116058989,true,0,6390,45246,27932,4217,81
1690548246969034026,/faas.Executor/Execute&76,workload-575188941665698831,true,0,7822,25160,37484,2837,69
1690548246985282599,/faas.Executor/Execute&75,workload-6922095524206409277,true,0,7285,66428,32851,3228,47
1690548246999844263,/faas.Executor/Execute&78,workload-8855082203783845643,true,1,7279,26343,27140,3487,35
1690548247010394335,/faas.Executor/Execute&77,workload-8333277310950075452,true,1,6246,58408,26972,3100,30
1690548247085388887,/faas.Executor/Execute&79,workload-6534511723338477524,true,1,6142,91919,27570,3225,84
1690548247098295245,/faas.Executor/Execute&81,workload-2417765694161227548,true,1,5652,64326,28310,3141,70
1690548247115586605,/faas.Executor/Execute&80,workload-2332755764154602805,true,0,6668,104182,25783,2738,50
1690548247139846311,/faas.Executor/Execute&82,workload-3929072910640526817,true,1,9482,83245,26223,3424,43
1690548247155007539,/faas.Executor/Execute&83,workload-3193649428247844235,true,1,5704,80571,28094,3074,45
1690548247160857291,/faas.Executor/Execute&84,workload-1683963335044382445,true,0,6892,65841,28076,2906,57
1690548247207454502,/faas.Executor/Execute&86,workload-7931095507874876232,true,1,6565,72177,27275,2999,46
1690548247217241424,/faas.Executor/Execute&85,workload-1019293216661911405,true,1,6936,100618,28850,3009,55
1690548247229730579,/faas.Executor/Execute&87,workload-905164451331911468,true,1,9544,65673,33352,3190,40
1690548247250061410,/faas.Executor/Execute&89,workload-4509826415025554027,true,1,5861,55114,26395,3045,49
1690548247271503311,/faas.Executor/Execute&88,workload-343148761814960603,true,0,6286,95646,28038,2727,59
1690548247307907227,/faas.Executor/Execute&90,workload-5266237215884896772,true,1,5623,93164,26182,3387,44
1690548247308746833,/faas.Executor/Execute&91,workload-4075253012028767208,true,1,6215,72294,27664,3033,39
1690548247322601307,/faas.Executor/Execute&93,workload-281599598127845784,true,1,5478,46548,27791,2718,50
1690548247340004552,/faas.Executor/Execute&92,workload-1448794361650044741,true,1,8512,81287,28010,3082,48
1690548247367500108,/faas.Executor/Execute&95,workload-3055102641437174725,true,0,6367,38097,38824,3099,50
1690548247382244584,/faas.Executor/Execute&94,workload-5811992535520889427,true,1,9344,76555,32581,2993,55
1690548247416037885,/faas.Executor/Execute&96,workload-6700418108240978316,true,1,5934,77543,28100,3319,59
1690548247462676755,/faas.Executor/Execute&97,workload-9048858610221946873,true,1,6273,103482,28016,2781,58
1690548247489612633,/faas.Executor/Execute&98,workload-1720925493399243309,true,1,6143,111387,27808,3227,33
1690548247500489794,/faas.Executor/Execute&99,workload-5890945966008344904,true,1,6069,100554,28744,3454,56
1690548247521928499,/faas.Executor/Execute&101,workload-4601257703776291610,true,1,6700,80634,28347,3297,35
1690548247523413588,/faas.Executor/Execute&100,workload-394536660809879394,true,1,6724,102101,28953,3203,46
1690548247557090334,/faas.Executor/Execute&102,workload-6788723470871087665,true,0,5905,98025,27424,3461,32
1690548247571157526,/faas.Executor/Execute&104,workload-8444342853287017227,true,1,8458,68665,27406,2928,36
1690548247615681916,/faas.Executor/Execute&105,workload-2630045908347600506,true,1,8215,94473,26083,3269,65
1690548247630326410,/faas.Executor/Execute&103,workload-1159198914637979701,true,1,7178,71410,104493,4572,55
1690548247666631546,/faas.Executor/Execute&109,workload-4818927550574199164,true,0,4940,67431,26144,2960,42
1690548247702707361,/faas.Executor/Execute&110,workload-7909442014310062256,true,1,6043,79049,28988,3288,41
1690548247704833504,/faas.Executor/Execute&111,workload-2814705504087382501,true,1,6666,61386,28376,2854,46
1690548247759946800,/faas.Executor/Execute&107,workload-7883758853530361575,true,1,6916,83167,29353,116034,56
1690548247766304360,/faas.Executor/Execute&114,workload-3177906597107516876,true,0,9573,61540,26357,2642,50
1690548247843667773,/faas.Executor/Execute&118,workload-8309486463394230523,true,0,5081,46487,41933,2857,49
1690548247849370021,/faas.Executor/Execute&117,workload-4141616927475294343,true,1,4531,67106,47856,3062,31
1690548247857699788,/faas.Executor/Execute&106,workload-7113121554097197491,true,1,6169,86802,256898,3962,36
1690548247858809023,/faas.Executor/Execute&116,workload-7569423005628535929,true,0,5155,107882,36273,3056,35
1690548247894007579,/faas.Executor/Execute&119,workload-7844757587033273951,true,1,7402,84305,31169,3770,58
1690548247900319461,/faas.Executor/Execute&120,workload-4989116002106628635,true,0,7972,64580,37470,2673,28
1690548247945809580,/faas.Executor/Execute&108,workload-598809591586188495,true,1,10225,128115,173560,89977,61
1690548247960383919,/faas.Executor/Execute&121,workload-8811012479988017640,true,1,7343,99184,28954,3279,56
1690548247971667803,/faas.Executor/Execute&124,workload-8970266253097975827,true,1,7290,66012,26718,2772,33
1690548247993338725,/faas.Executor/Execute&125,workload-8520246758642584260,true,1,5712,66637,28511,2821,53
1690548248092055908,/faas.Executor/Execute&127,workload-4046506457131508861,true,0,8174,109949,40360,3286,54
