time,service_name,container_id,success,image_fetch,container_create,container_start,cni,iptables,other
1690620692844023208,/faas.Executor/Execute&0,workload-7814619996276901132,true,1,8130,97043,38592,7067,54
1690620693842021282,/faas.Executor/Execute&1,workload-133444230280008597,true,1,7129,101156,36835,5451,46
1690620694979628787,/faas.Executor/Execute&2,workload-4129719677062425298,true,1,6612,127969,146522,6194,63
1690620695996475819,/faas.Executor/Execute&3,workload-530364102367462324,true,1,6585,158423,39116,99722,53
1690620696984554565,/faas.Executor/Execute&4,workload-1536752822909864486,true,1,6662,154616,38600,92292,42
1690620697847118273,/faas.Executor/Execute&5,workload-7331090246433201295,true,1,6758,101420,40375,6120,59
1690620698842417287,/faas.Executor/Execute&6,workload-1597151248703646594,true,1,6974,98220,39705,5189,50
1690620699858535446,/faas.Executor/Execute&7,workload-4229199601437829104,true,0,7740,114489,38966,5312,66
1690620700827167915,/faas.Executor/Execute&8,workload-3081150263500978922,true,1,6014,80795,41661,5355,49
1690620701858245906,/faas.Executor/Execute&9,workload-8252534277178688355,true,1,5881,115883,38199,5155,60
1690620702846402802,/faas.Executor/Execute&10,workload-5306637713386413643,true,1,6534,102442,38509,5637,82
1690620703865071640,/faas.Executor/Execute&11,workload-14676161690058782,true,1,6160,96232,60281,7508,60
1690620704928781726,/faas.Executor/Execute&12,workload-8904749144188246884,true,1,6283,101082,121463,6412,44
1690620705936371863,/faas.Executor/Execute&13,workload-7381063129637326489,true,1,6420,90777,137201,7276,43
1690620706870965025,/faas.Executor/Execute&14,workload-1770175727360152863,true,1,6147,91033,72894,6160,34
1690620707848576180,/faas.Executor/Execute&15,workload-3609372919186735733,true,0,7328,101119,39877,6767,36
1690620709060210887,/faas.Executor/Execute&16,workload-8681944728378178584,true,1,6660,98874,138213,122431,56
1690620709867901517,/faas.Executor/Execute&17,workload-2491840843122486285,true,1,5877,95399,65756,6693,39
1690620710983934645,/faas.Executor/Execute&18,workload-3512135895430141291,true,1,6144,144113,39439,99764,59
1690620711944382636,/faas.Executor/Execute&19,workload-8508895490146165158,true,1,5885,97642,57973,88086,35
1690620712871529915,/faas.Executor/Execute&20,workload-3686903164875296824,true,1,5983,97670,67033,6024,38
1690620713866770654,/faas.Executor/Execute&21,workload-1165738736748396502,true,1,5902,93592,66233,6178,34
1690620714866250682,/faas.Executor/Execute&22,workload-8196260307231172724,true,1,5960,119173,40027,5454,40
1690620715976738763,/faas.Executor/Execute&23,workload-5355656684062466600,true,0,6404,106545,69325,99604,91
1690620716980121703,/faas.Executor/Execute&24,workload-8438186544914970731,true,1,6703,151315,39108,87772,63
1690620718071810856,/faas.Executor/Execute&25,workload-4331283912858067210,true,1,6467,129661,113443,127163,40
1690620718935282810,/faas.Executor/Execute&26,workload-4030027420924266902,true,0,5654,85411,116596,5881,54
